,Player,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All Star
91,Mario Chalmers,PG,29,55,1253,18.0,0.57,0.335,0.604,2.0,11.4,6.5,27.0,3.3,0.9,16.2,22.3,2.4,1.3,3.7,0.141,0.6,1.1,1.7,1.2,0
92,Tyson Chandler,C,33,66,1618,14.7,0.606,0.003,0.545,11.5,27.5,19.3,6.0,1.1,2.2,19.3,12.7,2.1,1.6,3.8,0.11199999999999999,-0.8,-0.2,-1.1,0.4,0
93,Rakeem Christmas,PF,24,1,6,32.0,1.0,0.0,0.0,18.3,0.0,9.1,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.34299999999999997,5.6,0.9,6.5,0.0,0
94,Ian Clark,SG,24,66,578,11.5,0.544,0.41600000000000004,0.168,2.6,9.7,6.3,15.3,1.4,1.7,16.5,19.5,0.3,0.6,0.9,0.075,-1.5,-0.4,-1.9,0.0,0
95,Coty Clarke,SF,23,3,6,23.9,0.75,0.5,0.0,0.0,18.0,8.8,0.0,0.0,0.0,20.0,35.5,0.0,0.0,0.0,0.025,15.0,-1.0,14.1,0.0,0
96,Jordan Clarkson,SG,23,79,2552,14.3,0.516,0.29100000000000004,0.18600000000000005,3.8,9.6,6.6,13.8,1.7,0.2,10.2,22.8,1.7,0.4,2.1,0.039,-0.1,-1.5,-1.6,0.2,0
97,Norris Cole,PG,27,45,1198,10.8,0.465,0.21100000000000002,0.134,0.9,13.5,7.0,22.0,1.5,0.3,12.8,21.7,-0.6,0.5,-0.1,-0.004,-2.9,-0.9,-3.8,-0.5,0
98,Darren Collison,PG,28,74,2219,15.9,0.591,0.28,0.29100000000000004,1.4,6.8,4.1,21.7,1.6,0.1,12.9,19.2,4.5,0.7,5.2,0.113,0.9,-0.8,0.1,1.2,0
99,Nick Collison,PF,35,59,699,7.7,0.498,0.018000000000000002,0.303,11.2,15.2,13.3,9.6,1.1,1.7,28.8,10.6,0.1,0.7,0.8,0.053,-3.6,0.5,-3.1,-0.2,0
100,Mike Conley,PG,28,56,1761,19.4,0.5379999999999999,0.309,0.32899999999999996,1.6,9.3,5.3,32.7,2.0,0.8,9.5,22.4,4.2,1.1,5.3,0.145,3.5,-0.5,3.0,2.2,0
101,Pat Connaughton,SG,23,34,143,4.6,0.35200000000000004,0.429,0.102,8.3,15.9,12.1,9.9,0.7,0.0,16.3,18.7,-0.3,0.1,-0.2,-0.076,-4.8,-3.2,-8.0,-0.2,0
102,Chris Copeland,PF,31,24,156,5.4,0.462,0.706,0.13699999999999998,0.7,6.5,3.7,10.3,0.7,0.0,10.0,17.3,-0.1,0.0,-0.1,-0.017,-3.3,-3.1,-6.4,-0.2,0
103,Bryce Cotton,PG,23,8,39,1.7,0.4,0.3,0.0,0.0,0.0,0.0,10.8,3.7,0.0,33.3,16.5,-0.2,0.0,-0.1,-0.168,-7.7,-1.0,-8.8,-0.1,0
104,Bryce Cotton,PG,23,3,33,-3.3,0.25,0.375,0.0,0.0,0.0,0.0,12.7,4.4,0.0,38.5,16.8,-0.2,0.0,-0.2,-0.23800000000000002,-10.2,-1.2,-11.4,-0.1,0
